Places,latitude,longitude
Meghalaya Viewpoint at Khyrdop Mawlieh,25.66,91.77
Meghalaya Dawki,25.184,92.024
Meghalaya Thangkharang Park,25.216,91.724
Meghalaya Mih-Um-Spring Lawbah,25.223,91.7
Meghalaya Dainthlen Falls Sohra,25.271,91.730
Meghalaya Laitkynsew Viewpoint,25.220,91.667
Meghalaya EcoPark Sohra,25.277,91.72
Meghalaya Mattilang Park,25.539,91.821
Meghalaya SaIMilka Park,25.15,91.44
Meghalaya Green Rock Ranch,25.16,91.42
Meghalaya Mawlynnong,25.201,91.916
Meghalaya Mawphlang Sacred Grove,25.453,91.754
Meghalaya Don Bosco Museum Mawlai,25.624,91.883
Meghalaya Kyrdem Khla Laitlyngkot,25.445,91.844
Meghalaya Wahkaba Falls Laitryngew,25.310,91.731
Meghalaya Laitmawsiang,25.316,91.762
Meghalaya Viewpoint Sohiong Overlooking Sohiong Village,25.497,91.713
Meghalaya Golf Course at Pongtung,25.250,91.950
Meghalaya Tourist Spot Kutmadan Sohra,25.271,91.732
Meghalaya Mawlyngbna Park Mawsynram,25.297,91.582
Meghalaya Wei Kyrbei Falls Lawbah,25.248,91.588
Meghalaya Viewpoint Mawkhan,25.199,91.600
Meghalaya Byrdaw Falls,25.214,91.950
Meghalaya Umngot Viewpoint Overlooking Bangladesh,25.199,92.02
Mizoram Aizawl,23.727,92.717
Mizoram Champhai,23.456,93.328
Mizoram Lunglei,22.867,92.765
Mizoram Serchhip,23.341,92.850
Mizoram Mamit,23.647,92.539
Mizoram Kolasib,24.167,92.738
Mizoram Lawngtlai,22.311,92.698
Mizoram Saiha,22.352,93.057
Nagaland Naga heritage village Kisama,25.6,93.2
Nagaland Chumukedima,25.804,93.754
Nagaland Razaphema Basa,25.688,93.776
Nagaland Dzukou Valley,26.158,94.562
Nagaland Mon,26.803,94.976
Sikkim Nathula,27.47,88.54
Sikkim Changu lake,27.374,88.763
Sikkim Rumtek,27.288,88.561
Sikkim Aritar,27.187,88.674
Sikkim Gangtok in the East District,27.338,88.606
